player,surface,period,spw,rpw,matches
Madison Keys,clay,52week,0.6060,0.4550,10
Madison Keys,grass,52week,0.6590,0.4340,15
Madison Keys,all,52week,0.6120,0.4360,48
Madison Keys,hard,career,0.6080,0.4320,362
Madison Keys,clay,career,0.6000,0.4430,148
Madison Keys,grass,career,0.6440,0.4210,83
Madison Keys,all,career,0.6110,0.4332,593
Sorana Cirstea,hard,52week,0.6130,0.4490,45
Sorana Cirstea,clay,52week,0.6340,0.4570,23
Sorana Cirstea,grass,52week,0.5910,0.3990,6
Sorana Cirstea,all,52week,0.6177,0.4474,74
Sorana Cirstea,hard,career,0.5650,0.4330,443
Sorana Cirstea,clay,career,0.5490,0.4500,216
Sorana Cirstea,grass,career,0.5720,0.4070,72
Sorana Cirstea,all,career,0.5610,0.4355,731
Iva Jovic,hard,52week,0.5900,0.4580,37
Iva Jovic,clay,52week,0.5710,0.4610,13
Iva Jovic,grass,52week,0.5680,0.4570,9
Iva Jovic,all,52week,0.5825,0.4585,59
Iva Jovic,hard,career,0.5860,0.4570,43
Iva Jovic,clay,career,0.5630,0.4600,17
Iva Jovic,grass,career,0.5680,0.4570,9
Iva Jovic,all,career,0.5780,0.4577,69
Jasmine Paolini,hard,52week,0.5760,0.4430,42
Jasmine Paolini,clay,52week,0.5590,0.4270,7
Jasmine Paolini,grass,52week,0.5770,0.4230,8
Jasmine Paolini,all,52week,0.5741,0.4382,57
Jasmine Paolini,hard,career,0.5650,0.4390,204
Jasmine Paolini,clay,career,0.5530,0.4600,104
Jasmine Paolini,grass,career,0.5810,0.4140,27
Jasmine Paolini,all,career,0.5626,0.4435,335
Elise Mertens,hard,52week,0.6040,0.4480,32
Elise Mertens,clay,52week,0.6040,0.4390,9
Elise Mertens,grass,52week,0.6080,0.4310,15
Elise Mertens,all,52week,0.6051,0.4420,56
Elise Mertens,hard,career,0.5830,0.4570,338
Elise Mertens,clay,career,0.5700,0.4680,121
Elise Mertens,grass,career,0.5900,0.4390,73
Elise Mertens,all,career,0.5810,0.4570,532
Alexandra Eala,hard,52week,0.5610,0.4480,29
Alexandra Eala,clay,52week,0.5520,0.4320,10
Alexandra Eala,grass,52week,0.5750,0.4270,12
Alexandra Eala,all,52week,0.5625,0.4399,51
Alexandra Eala,hard,career,0.5350,0.4420,45
Alexandra Eala,clay,career,0.5150,0.4450,19
Alexandra Eala,grass,career,0.5720,0.4510,18
Alexandra Eala,all,career,0.5385,0.4447,82
Amanda Anisimova,hard,52week,0.6020,0.4510,38
Amanda Anisimova,grass,52week,0.6150,0.4350,12
Amanda Anisimova,all,52week,0.6051,0.4472,50
Amanda Anisimova,hard,career,0.5870,0.4430,173
Amanda Anisimova,clay,career,0.5620,0.4690,67
Amanda Anisimova,grass,career,0.6010,0.4400,38
Amanda Anisimova,all,career,0.5829,0.4489,278
Anna Kalinskaya,hard,52week,0.5810,0.4300,39
Anna Kalinskaya,clay,52week,0.5330,0.4430,12
Anna Kalinskaya,grass,52week,0.6090,0.4010,8
Anna Kalinskaya,all,52week,0.5750,0.4287,59
Anna Kalinskaya,hard,career,0.5750,0.4250,175
Anna Kalinskaya,clay,career,0.5520,0.4330,55
Anna Kalinskaya,grass,career,0.5900,0.3970,29
Anna Kalinskaya,all,career,0.5718,0.4236,259
Marketa Vondrousova,hard,52week,0.5840,0.4450,20
Marketa Vondrousova,clay,52week,0.5550,0.4860,3
Marketa Vondrousova,grass,52week,0.6020,0.4450,7
Marketa Vondrousova,all,52week,0.5853,0.4491,30
Marketa Vondrousova,hard,career,0.5820,0.4590,179
Marketa Vondrousova,clay,career,0.5730,0.4720,81
Marketa Vondrousova,grass,career,0.5860,0.4260,32
Marketa Vondrousova,all,career,0.5799,0.4590,292
Barbora Krejcikova,hard,52week,0.5850,0.4570,27
Barbora Krejcikova,clay,52week,0.5770,0.3830,3
Barbora Krejcikova,grass,52week,0.6190,0.4440,10
Barbora Krejcikova,all,52week,0.5929,0.4482,40
Barbora Krejcikova,hard,career,0.5960,0.4410,170
Barbora Krejcikova,clay,career,0.5660,0.4500,69
Barbora Krejcikova,grass,career,0.6270,0.4220,43
Barbora Krejcikova,all,career,0.5934,0.4403,282
Anastasia Potapova,hard,52week,0.5340,0.4360,23
Anastasia Potapova,clay,52week,0.5930,0.4860,18
Anastasia Potapova,grass,52week,0.5280,0.3240,4
Anastasia Potapova,all,52week,0.5571,0.4460,45
Anastasia Potapova,hard,career,0.5510,0.4480,186
Anastasia Potapova,clay,career,0.5570,0.4710,85
Anastasia Potapova,grass,career,0.5790,0.4100,26
Anastasia Potapova,all,career,0.5552,0.4513,297
Diana Shnaider,hard,52week,0.5850,0.4250,32
Diana Shnaider,clay,52week,0.5500,0.4520,15
Diana Shnaider,grass,52week,0.5610,0.4180,6
Diana Shnaider,all,52week,0.5724,0.4318,53
Diana Shnaider,hard,career,0.5850,0.4340,101
Diana Shnaider,clay,career,0.5750,0.4530,52
Diana Shnaider,grass,career,0.5910,0.4230,24
Diana Shnaider,all,career,0.5829,0.4381,177
Marie Bouzkova,hard,52week,0.5570,0.4670,34
Marie Bouzkova,clay,52week,0.5810,0.4650,13
Marie Bouzkova,grass,52week,0.6230,0.4440,13
Marie Bouzkova,all,52week,0.5765,0.4616,60
Marie Bouzkova,hard,career,0.5740,0.4420,204
Marie Bouzkova,clay,career,0.5640,0.4520,58
Marie Bouzkova,grass,career,0.6010,0.4320,38
Marie Bouzkova,all,career,0.5755,0.4427,300
Emma Navarro,hard,52week,0.5900,0.4250,28
Emma Navarro,clay,52week,0.5620,0.5060,8
Emma Navarro,grass,52week,0.6020,0.4220,16
Emma Navarro,all,52week,0.5894,0.4365,52
Emma Navarro,hard,career,0.5700,0.4480,107
Emma Navarro,clay,career,0.5590,0.4670,52
Emma Navarro,grass,career,0.6010,0.4270,38
Emma Navarro,all,career,0.5731,0.4490,197
Sonay Kartal,hard,52week,0.6130,0.4220,26
Sonay Kartal,clay,52week,0.5600,0.4160,7
Sonay Kartal,grass,52week,0.5930,0.4440,9
Sonay Kartal,all,52week,0.5999,0.4257,42
